patch_stride,seed,sf_passed,mmd,discriminative_score,wasserstein_1d,correlation_matrix_distance,ks_stat,sig_w1,moment_mean_diff,moment_std_diff,moment_skew_diff,moment_kurt_diff,sf1_pass,sf2_pass,sf3_pass,sf4_pass,sf5_pass,sf6_pass
1,42,4,0.024978,0.7104,0.278758,1.5264,0.07,,,,,,0,1,1,1,1,0
1,123,4,0.015898,0.7169,0.175471,1.4014,0.1066,,,,,,0,1,1,1,1,0
1,456,4,0.029894,0.7139,0.44302,1.512,0.111,,,,,,0,1,1,1,1,0
2,42,4,0.03266,0.7194,0.245844,1.844,0.0732,,,,,,0,1,1,1,1,0
2,123,4,0.011863,0.7274,0.227697,1.5246,0.1078,,,,,,0,1,1,1,1,0
2,456,4,0.019456,0.7159,0.48913,1.9187,0.1316,,,,,,0,1,1,1,1,0
3,42,4,0.02733,0.6764,0.218557,2.5283,0.0824,,,,,,0,1,1,1,1,0
3,123,4,0.00962,0.7359,0.214386,2.2328,0.1052,,,,,,0,1,1,1,1,0
3,456,4,0.031367,0.7359,0.468618,2.419,0.1476,,,,,,0,1,1,1,1,0
5,42,5,0.027632,0.7389,0.187966,4.27,0.1142,,,,,,1,1,1,1,1,0
5,123,5,0.015012,0.7559,0.245562,3.3042,0.111,,,,,,1,1,1,1,1,0
5,456,4,0.043246,0.7599,0.381822,4.1437,0.183,,,,,,0,1,1,1,1,0
10,42,4,0.046483,0.7599,0.289242,6.439,0.1416,,,,,,0,1,1,1,1,0
10,123,4,0.038271,0.7669,0.315328,5.674,0.1308,,,,,,0,1,1,1,1,0
10,456,4,0.054043,0.6899,0.354261,6.1087,0.1656,,,,,,0,1,1,1,1,0
20,42,3,0.062463,0.7594,0.35866,7.3919,0.1504,,,,,,0,0,1,1,1,0
20,123,4,0.05502,0.7744,0.390424,7.036,0.1676,,,,,,0,1,1,1,1,0
20,456,3,0.064443,0.7254,0.404891,7.2503,0.1702,,,,,,0,0,1,1,1,0
